Zinc Anode,Lignin Cathode,Electrolyte,Separator,Current Collector,Battery Efficiency,OSA,NF,ESA,IC,Hybrid Graphene,Hybrid Carbon Nanotubes,Hybrid Metal Oxides
700,900,400,300,200,86.8,110,85,60,0.82,1300,125000,1100
1500,1800,800,500,400,89.5,180,150,90,0.87,1550,145000,1300
400,600,250,150,120,84.2,95,75,50,0.79,1150,110000,950
3000,3500,1600,1000,800,91,380,280,150,0.93,1900,180000,1500
700,900,400,300,200,87.5,115,90,65,0.83,1350,130000,1150
6000,7000,3000,2000,1500,93.2,750,550,300,0.97,2100,200000,1800
5000,5800,2500,1800,1300,92.5,700,500,280,0.95,1950,190000,1600
900,1100,500,350,300,88.3,180,140,80,0.86,1450,135000,1200
500,700,300,200,150,85,120,100,60,0.8,1250,120000,1050
400,500,250,150,120,83.5,100,80,50,0.78,1100,105000,950
150,200,100,80,60,80.2,70,60,40,0.75,900,85000,750
800,1000,450,300,250,87.7,140,110,70,0.84,1400,130000,1150
2000,2300,1000,600,500,92,500,350,200,0.94,1800,170000,1400
3500,4000,1800,1200,1000,90.5,600,450,250,0.91,2000,190000,1600
7000,8000,3500,2500,2000,94,800,600,350,0.98,2200,210000,1800
