Zinc Anode (g),Lignin Cathode (g),Electrolyte (g),Separator (g),Current Collector (g),Material Integration Percentage (%)
300,300,600,10,10,50
350,300,550,15,10,52.97
400,350,700,15,20,55.22
450,350,650,20,20,57.89
500,400,750,20,30,60
550,450,850,25,30,61.9
600,450,900,25,40,64.07
650,500,950,30,40,66.04
700,550,1050,30,50,67.8
750,600,1150,35,50,69.5
800,600,1200,35,60,71.05
850,650,1250,40,60,72.55
900,700,1350,40,70,74
950,750,1450,45,70,75.38
1000,750,1500,45,80,76.67
1050,800,1600,50,80,78
1100,850,1650,50,90,79.22
1150,900,1750,55,90,80.4
1200,950,1850,55,100,81.54
1250,1000,1950,60,100,82.64
1300,1050,2000,65,110,83.69
1350,1100,2100,65,120,84.66
1400,1150,2200,70,130,85.59
1450,1200,2300,70,140,86.49
1500,1250,2400,75,150,87.36
1550,1300,2500,75,160,88.2
1600,1350,2600,80,170,89.02
1650,1400,2700,80,180,89.81
1700,1450,2800,85,190,90.57
1750,1500,2900,85,200,91.3
1800,1550,3000,90,210,92
1850,1600,3100,90,220,92.68
1900,1650,3200,95,230,93.33
1950,1700,3300,95,240,93.96
2000,1750,3400,100,250,94.57
2050,1800,3500,100,260,95.15
2100,1850,3600,105,270,95.71
2150,1900,3700,105,280,96.25
2200,1950,3800,110,290,96.76
2250,2000,3900,110,300,97.25
2150,1750,3000,90,250,90.7
1800,1500,2500,80,180,87.57
1650,1250,2200,75,160,85.88
1900,1450,2600,85,210,89.23
2000,1600,2800,85,220,90.62
1750,1400,2400,80,200,88.15
2250,1800,3200,95,270,91.67
1950,1550,2700,90,230,89.72
2100,1700,2900,90,240,91.12
2050,1650,2850,85,235,90.51
2300,1850,3300,100,280,92.1
2200,1800,3150,95,275,91.41
2400,1900,3400,100,290,92.45
2350,1875,3350,100,285,92.29
1850,1475,2600,80,195,88.24
1700,1325,2350,75,170,86.3
1950,1525,2700,85,225,89.05
2100,1675,2900,90,235,90.47
2150,1725,2950,90,240,90.88
1750,1375,2450,80,185,87.79
