Application,Initial Concentration (C0),Conductivity Enhancement Factor (CEF),Optimum Concentration (C),Number of Charge Carriers (n),Volume of Electrolyte (V),Ionic Conductivity(S/m)
Smartphones,1,1.5,1.5,1.2,10,3.84
Laptops and Tablets,1,1.5,1.5,1.5,20,2.4
Wearable Devices,1,1.5,1.5,0.8,5,5.12
Cars,1,1.5,1.5,2,50,1.28
Bikes and Scooters,1,1.5,1.5,1.8,30,1.92
Solar Energy Storage,1,1.5,1.5,3,100,0.96
Wind Energy Storage,1,1.5,1.5,2.5,80,1
Cordless Drills and Saws,1,1.5,1.5,1.1,15,2.35
Gardening Equipment,1,1.5,1.5,1.3,25,1.67
Portable Medical Equipment,1,1.5,1.5,1,8,4
Implantable Medical Devices,1,1.5,1.5,0.5,2,8
Drones,1,1.5,1.5,1.7,22,2.48
Spacecraft,1,1.5,1.5,2.2,45,1.56
Uninterruptible Power Supplies,1,1.5,1.5,2.8,60,1.49
Grid Energy Storage,1,1.5,1.5,3.5,150,0.75
